raw_name,dong_name,expected
302호,,302
제 309호,,309
1층 6-2호,,6-2
2층 24-1호,,24-1
지층비01호,,BB1
B01호,,B1
비-116,,B-116
지하1층 B101호,,B101
에이303,,A303
에이치701,,H701
디1008,,D1008
씨-204,,C-204
에프09,,F9
A-1508B,,A-1508B
A-1508B,A,-1508B
에이동 304호,에이동,304
101동 1204호,101,동1204
101동 1204호,0000,101동1204
105호(D형),,105
303호(32A평형),,303
1409(에이)호,,1409
지상3층 305호,,305
제5층 제1-1355호,,제1-1355
오피스텔 1402,,오피스텔1402
"401,2",,4012
301.302,,301302
가동 209호,가동,209
가호,,가
나 664,,나664
상가A-12,,상가A-12
W515,,W515
2-B109,,2-B109
416 호,,416
000,,0
B0123a,,B123A
제10동 07호,제10동,7
,,
"   ",,
...,,
